"LocationHeirarchyKey","LocationID","LocationParentID","LocationReferenceCode","LocationReferenceDescription","ParentLocationReference","DIT_LocationHierarchyCode","LocationHierarchyDescription","DIT_ProjectRdCode","ProjectRdDescription","DIT_LocationCode","LocationCodeDescription","DIT_SubLocationCode","SubLocationCodeDescription","SiteIDLocationReference","Uniclass_CoCode","Uniclass_CoTitle","Uniclass_EnCode","Uniclass_EnTitle","Uniclass_SLCode","Uniclass_SLTitle","Modified","Modified By","ID"
"3XP","FB03B5","EK14W1","SN190","Cross Passage S19","L003","06203-L003-SN190","North South Motorway;Southern Tunnels;Cross Passage S19","06203","North South Motorway","L003","3190","SN190","Cross Passage S19","3190","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","334"
"3CW","DN27G1","EK14W1","SL191","Between Cross Passage S19 & S20, West Carriageway, Northbound","L003","06203-L003-SL191","North South Motorway;Southern Tunnels;Between Cross Passage S19 & S20, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL191","Between Cross Passage S19 & S20, West Carriageway, Northbound","3191,3196","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","335"
"3CW","XG08X4","EK14W1","SL192","Between Cross Passage S19 & S20, East Carriageway, Southbound","L003","06203-L003-SL192","North South Motorway;Southern Tunnels;Between Cross Passage S19 & S20, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL192","Between Cross Passage S19 & S20, East Carriageway, Southbound","3192,3197","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","336"
"3IN","EQ12W7","EK14W1","SL193","Invert Between Cross Passage S19 & S20, West Carriageway, Northbound","L003","06203-L003-SL193","North South Motorway;Southern Tunnels;Invert Between Cross Passage S19 & S20, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL193","Invert Between Cross Passage S19 & S20, West Carriageway, Northbound","3193","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:34 PM","John Marsden-T2D","337"
"3IN","SQ23R7","EK14W1","SL194","Invert Between Cross Passage S19 & S20, East Carriageway, Southbound","L003","06203-L003-SL194","North South Motorway;Southern Tunnels;Invert Between Cross Passage S19 & S20, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL194","Invert Between Cross Passage S19 & S20, East Carriageway, Southbound","3194","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:34 PM","John Marsden-T2D","338"
"3XP","PO28T4","EK14W1","SN200","Cross Passage S20","L003","06203-L003-SN200","North South Motorway;Southern Tunnels;Cross Passage S20","06203","North South Motorway","L003","3200","SN200","Cross Passage S20","3200","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","339"
"3CW","DP80O5","EK14W1","SL201","Between Cross Passage S20 & S21, West Carriageway, Northbound","L003","06203-L003-SL201","North South Motorway;Southern Tunnels;Between Cross Passage S20 & S21, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL201","Between Cross Passage S20 & S21, West Carriageway, Northbound","3201,3206","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","340"
"3CW","OD39S1","EK14W1","SL202","Between Cross Passage S20 & S21, East Carriageway, Southbound","L003","06203-L003-SL202","North South Motorway;Southern Tunnels;Between Cross Passage S20 & S21, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL202","Between Cross Passage S20 & S21, East Carriageway, Southbound","3202,3207","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","341"
"3IN","SS65Y8","EK14W1","SL203","Invert Between Cross Passage S20 & S21, West Carriageway, Northbound","L003","06203-L003-SL203","North South Motorway;Southern Tunnels;Invert Between Cross Passage S20 & S21, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL203","Invert Between Cross Passage S20 & S21, West Carriageway, Northbound","3203","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:35 PM","John Marsden-T2D","342"
"3IN","RJ62B4","EK14W1","SL204","Invert Between Cross Passage S20 & S21, East Carriageway, Southbound","L003","06203-L003-SL204","North South Motorway;Southern Tunnels;Invert Between Cross Passage S20 & S21, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL204","Invert Between Cross Passage S20 & S21, East Carriageway, Southbound","3204","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:35 PM","John Marsden-T2D","343"
"3XP","QR16S9","EK14W1","SN210","Cross Passage S21","L003","06203-L003-SN210","North South Motorway;Southern Tunnels;Cross Passage S21","06203","North South Motorway","L003","3210","SN210","Cross Passage S21","3210","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","344"
"3CW","MT70A1","EK14W1","SL211","Between Cross Passage S21 & S22, West Carriageway, Northbound","L003","06203-L003-SL211","North South Motorway;Southern Tunnels;Between Cross Passage S21 & S22, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL211","Between Cross Passage S21 & S22, West Carriageway, Northbound","3211,3216","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","345"
"3CW","QQ00P6","EK14W1","SL212","Between Cross Passage S21 & S22, East Carriageway, Southbound","L003","06203-L003-SL212","North South Motorway;Southern Tunnels;Between Cross Passage S21 & S22, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL212","Between Cross Passage S21 & S22, East Carriageway, Southbound","3212,3217","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","346"
"3IN","LY64D1","EK14W1","SL213","Invert Between Cross Passage S21 & S22, West Carriageway, Northbound","L003","06203-L003-SL213","North South Motorway;Southern Tunnels;Invert Between Cross Passage S21 & S22, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL213","Invert Between Cross Passage S21 & S22, West Carriageway, Northbound","3213","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:35 PM","John Marsden-T2D","347"
"3IN","ZO24Z3","EK14W1","SL214","Invert Between Cross Passage S21 & S22, East Carriageway, Southbound","L003","06203-L003-SL214","North South Motorway;Southern Tunnels;Invert Between Cross Passage S21 & S22, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL214","Invert Between Cross Passage S21 & S22, East Carriageway, Southbound","3214","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/11/2025 12:35 PM","John Marsden-T2D","348"
"3XP","ET07D4","EK14W1","SN220","Cross Passage S22","L003","06203-L003-SN220","North South Motorway;Southern Tunnels;Cross Passage S22","06203","North South Motorway","L003","3220","SN220","Cross Passage S22","3220","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","349"
"3CW","FN93T6","EK14W1","SL221","Between Cross Passage S22 & S23, West Carriageway, Northbound","L003","06203-L003-SL221","North South Motorway;Southern Tunnels;Between Cross Passage S22 & S23, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL221","Between Cross Passage S22 & S23, West Carriageway, Northbound","3221,3226","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:02 AM","John Marsden-T2D","350"
