"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"Hydrant System Cabinet","Yes","FNC","FNC","Yes","No","Model","FD",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_80_77_28_46","Fire hydrant surface boxes","EF_55_30_96Ss_55_30_96_30Pr_80_77_28_46",,"01.05 M&E","01.05.02.01.14 Fire Niche ",,"Point Asset","Point","James McKinlay-T2D",,,"2694","25/07/2025 3:13 PM","20/05/2026 5:36 PM","Gunagi, Pooja"
"Hydrant System Mains Pipework","No","HSP","HSP","No","No","Model","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_52_63_82","Steel pipes","EF_55_30_96Ss_55_30_96_30Pr_65_52_63_82",,"01.05 M&E","01.05.02.10.01 Fire Hydrant Booster",,"Point Asset","Line","James McKinlay-T2D",,,"2758","25/07/2025 3:14 PM","21/05/2026 4:18 PM","Muhammad Abid-T2D"
"Hydrant System Range Pipework","No","HRP","HRP","No","No","Unsure","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96_30","Fire hydrant systems","Pr_65_52_63_82","Steel pipes","EF_55_30_96Ss_55_30_96_30Pr_65_52_63_82",,"01.05 M&E","01.05.02.10.01 Fire Hydrant Booster",,"Point Asset","Line","James McKinlay-T2D",,,"2759","25/07/2025 3:14 PM","20/05/2026 5:04 PM","Gunagi, Pooja"
"Hydraulic Actuators","Yes","ACT","ACT","Yes","No","Model","HY",,"EF_55_70","Water supply","Ss_55_70","Water distribution and supply systems","Pr_75_50_02","Actuators","EF_55_70Ss_55_70Pr_75_50_02",,"01.05 M&E","01.05.04.05.01 Valves & Actuators",,"Point Asset","Point","James McKinlay-T2D",,,"2872","25/07/2025 3:15 PM","20/05/2026 5:36 PM","Gunagi, Pooja"
"Hydrocarbon Gas Detector","Yes","HGD","HGD","Yes","No","Model","FD",,"EF_75_50_33","Gas detection and alarms","Ss_75_50_33_30","Fixed gas detection and alarm systems","Pr_75_50_76_33","Gas detectors","EF_75_50_33Ss_75_50_33_30Pr_75_50_76_33",,"01.05 M&E","01.05.04.05.02 Sensors",,"Point Asset","Point","James McKinlay-T2D",,,"2760","25/07/2025 3:14 PM","21/05/2026 3:47 PM","Muhammad Abid-T2D"
"Hydrogen Sensor","Yes","HYS","HYS","Yes","No","Unsure","VA",,"EF_65_80","Air conditioning","Ss_65_80","Air conditioning systems","Pr_75_50_76_33","Gas detectors","EF_65_80Ss_65_80Pr_75_50_76_33",,"01.05 M&E","01.05.04.05.02 Sensors",,"Point Asset","Point","James McKinlay-T2D",,,"2844","25/07/2025 3:15 PM","20/05/2026 5:04 PM","Gunagi, Pooja"
"Illuminated Exit Sign","Yes","LES","LES","Yes","No","Model","LE",,"Ef_40","Signage, fittings, furnishings and equipment","Ss_40","Signage, fittings, furnishings and equipment (FF&E) and general finishing systems","Pr_40_10_57_30","Externally illuminated emergency exit signs","Ef_40Ss_40Pr_40_10_57_30",,"01.05 M&E","01.05.02.11.03 Wayfinding Emergency Exit",,"Point Asset","Point","James McKinlay-T2D",,,"3030","25/07/2025 3:19 PM","21/05/2026 4:18 PM","Muhammad Abid-T2D"
"Impact / Crash Attenuators","Yes","CAT","CAT","Yes","No","Model","FN","248","EF_25_55","Barriers","Ss_25_16_94","Vehicle restraint systems","Pr_20_85_07","Barrier rails","EF_25_55Ss_25_16_94Pr_20_85_07","2; 3","01.03 Roadside","01.03.03.01.06 Crash Attenuators",,"Point Asset","Point","Tay, Bryan","733",,"207","13/05/2025 5:19 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"Incoming Breaker (LV)","Conditional","LQI","LQI","No","No","Model","LV",,"EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_25","Electrical protection systems","Pr_65_72_27","Electrical protective devices","EF_70_30_45Ss_70_30_25Pr_65_72_27",,"01.05 M&E","01.05.01.03.12 Incoming Breaker (LV)",,"Point Asset","Point","James McKinlay-T2D",,,"2610","25/07/2025 3:11 PM","20/05/2026 5:45 PM","Gunagi, Pooja"
"In-Duct Smoke Detector","Yes","DSM","DSM","Yes","No","Model","FD",,"EF_75_50_28","Fire and smoke detection and alarms","Ss_75_50_28_24","Duct smoke detector systems","Pr_75_80_30_22","Duct smoke detectors","EF_75_50_28Ss_75_50_28_24Pr_75_80_30_22",,"01.05 M&E","01.05.02.01.03 Optical Smoke Detection Unit",,"Point Asset","Point","James McKinlay-T2D",,,"2845","25/07/2025 3:15 PM","1/07/2026 9:39 AM","Mazarei, Ashkan (DIT)"
